fixture,league,teams,goals,score
"{'id': 1035037, 'referee': 'C. Pawson', 'timezone': 'UTC', 'date': '2023-08-11T19:00:00+00:00', 'timestamp': 1691780400, 'periods': {'first': 1691780400, 'second': 1691784000}, 'venue': {'id': 512, 'name': 'Turf Moor', 'city': 'Burnley'}, 'status': {'long': 'Match Finished', 'short': 'FT', 'elapsed': 90}}","{'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2023, 'round': 'Regular Season - 1'}","{'home': {'id': 44, 'name': 'Burnley', 'logo': 'https://media.api-sports.io/football/teams/44.png', 'winner': False}, 'away': {'id': 50, 'name': 'Manchester City', 'logo': 'https://media.api-sports.io/football/teams/50.png', 'winner': True}}","{'home': 0, 'away': 3}","{'halftime': {'home': 0, 'away': 2}, 'fulltime': {'home': 0, 'away': 3}, 'extratime': {'home': None, 'away': None}, 'penalty': {'home': None, 'away': None}}"
"{'id': 1035038, 'referee': 'M. Oliver', 'timezone': 'UTC', 'date': '2023-08-12T11:30:00+00:00', 'timestamp': 1691839800, 'periods': {'first': 1691839800, 'second': 1691843400}, 'venue': {'id': 494, 'name': 'Emirates Stadium', 'city': 'London'}, 'status': {'long': 'Match Finished', 'short': 'FT', 'elapsed': 90}}","{'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2023, 'round': 'Regular Season - 1'}","{'home': {'id': 42, 'name': 'Arsenal', 'logo': 'https://media.api-sports.io/football/teams/42.png', 'winner': True}, 'away': {'id': 65, 'name': 'Nottingham Forest', 'logo': 'https://media.api-sports.io/football/teams/65.png', 'winner': False}}","{'home': 2, 'away': 1}","{'halftime': {'home': 2, 'away': 0}, 'fulltime': {'home': 2, 'away': 1}, 'extratime': {'home': None, 'away': None}, 'penalty': {'home': None, 'away': None}}"
"{'id': 1035039, 'referee': 'P. Bankes', 'timezone': 'UTC', 'date': '2023-08-12T14:00:00+00:00', 'timestamp': 1691848800, 'periods': {'first': 1691848800, 'second': 1691852400}, 'venue': {'id': 504, 'name': 'Vitality Stadium', 'city': 'Bournemouth, Dorset'}, 'status': {'long': 'Match Finished', 'short': 'FT', 'elapsed': 90}}","{'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2023, 'round': 'Regular Season - 1'}","{'home': {'id': 35, 'name': 'Bournemouth', 'logo': 'https://media.api-sports.io/football/teams/35.png', 'winner': None}, 'away': {'id': 48, 'name': 'West Ham', 'logo': 'https://media.api-sports.io/football/teams/48.png', 'winner': None}}","{'home': 1, 'away': 1}","{'halftime': {'home': 0, 'away': 0}, 'fulltime': {'home': 1, 'away': 1}, 'extratime': {'home': None, 'away': None}, 'penalty': {'home': None, 'away': None}}"
"{'id': 1035040, 'referee': 'D. Coote', 'timezone': 'UTC', 'date': '2023-08-12T14:00:00+00:00', 'timestamp': 1691848800, 'periods': {'first': 1691848800, 'second': 1691852400}, 'venue': {'id': 508, 'name': 'The American Express Community Stadium', 'city': 'Falmer, East Sussex'}, 'status': {'long': 'Match Finished', 'short': 'FT', 'elapsed': 90}}","{'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2023, 'round': 'Regular Season - 1'}","{'home': {'id': 51, 'name': 'Brighton', 'logo': 'https://media.api-sports.io/football/teams/51.png', 'winner': True}, 'away': {'id': 1359, 'name': 'Luton', 'logo': 'https://media.api-sports.io/football/teams/1359.png', 'winner': False}}","{'home': 4, 'away': 1}","{'halftime': {'home': 1, 'away': 0}, 'fulltime': {'home': 4, 'away': 1}, 'extratime': {'home': None, 'away': None}, 'penalty': {'home': None, 'away': None}}"
"{'id': 1035041, 'referee': 'S. Attwell', 'timezone': 'UTC', 'date': '2023-08-12T14:00:00+00:00', 'timestamp': 1691848800, 'periods': {'first': 1691848800, 'second': 1691852400}, 'venue': {'id': 8560, 'name': 'Goodison Park', 'city': 'Liverpool'}, 'status': {'long': 'Match Finished', 'short': 'FT', 'elapsed': 90}}","{'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2023, 'round': 'Regular Season - 1'}","{'home': {'id': 45, 'name': 'Everton', 'logo': 'https://media.api-sports.io/football/teams/45.png', 'winner': False}, 'away': {'id': 36, 'name': 'Fulham', 'logo': 'https://media.api-sports.io/football/teams/36.png', 'winner': True}}","{'home': 0, 'away': 1}","{'halftime': {'home': 0, 'away': 0}, 'fulltime': {'home': 0, 'away': 1}, 'extratime': {'home': None, 'away': None}, 'penalty': {'home': None, 'away': None}}"
"{'id': 1035042, 'referee': 'J. Brooks', 'timezone': 'UTC', 'date': '2023-08-12T14:00:00+00:00', 'timestamp': 1691848800, 'periods': {'first': 1691848800, 'second': 1691852400}, 'venue': {'id': 581, 'name': 'Bramall Lane', 'city': 'Sheffield'}, 'status': {'long': 'Match Finished', 'short': 'FT', 'elapsed': 90}}","{'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2023, 'round': 'Regular Season - 1'}","{'home': {'id': 62, 'name': 'Sheffield Utd', 'logo': 'https://media.api-sports.io/football/teams/62.png', 'winner': False}, 'away': {'id': 52, 'name': 'Crystal Palace', 'logo': 'https://media.api-sports.io/football/teams/52.png', 'winner': True}}","{'home': 0, 'away': 1}","{'halftime': {'home': 0, 'away': 0}, 'fulltime': {'home': 0, 'away': 1}, 'extratime': {'home': None, 'away': None}, 'penalty': {'home': None, 'away': None}}"
"{'id': 1035043, 'referee': 'A. Madley', 'timezone': 'UTC', 'date': '2023-08-12T16:30:00+00:00', 'timestamp': 1691857800, 'periods': {'first': 1691857800, 'second': 1691861400}, 'venue': {'id': 562, 'name': ""St. James' Park"", 'city': 'Newcastle upon Tyne'}, 'status': {'long': 'Match Finished', 'short': 'FT', 'elapsed': 90}}","{'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2023, 'round': 'Regular Season - 1'}","{'home': {'id': 34, 'name': 'Newcastle', 'logo': 'https://media.api-sports.io/football/teams/34.png', 'winner': True}, 'away': {'id': 66, 'name': 'Aston Villa', 'logo': 'https://media.api-sports.io/football/teams/66.png', 'winner': False}}","{'home': 5, 'away': 1}","{'halftime': {'home': 2, 'away': 1}, 'fulltime': {'home': 5, 'away': 1}, 'extratime': {'home': None, 'away': None}, 'penalty': {'home': None, 'away': None}}"
"{'id': 1035044, 'referee': 'R. Jones', 'timezone': 'UTC', 'date': '2023-08-13T13:00:00+00:00', 'timestamp': 1691931600, 'periods': {'first': 1691931600, 'second': 1691935200}, 'venue': {'id': 10503, 'name': 'Gtech Community Stadium', 'city': 'Brentford, Middlesex'}, 'status': {'long': 'Match Finished', 'short': 'FT', 'elapsed': 90}}","{'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2023, 'round': 'Regular Season - 1'}","{'home': {'id': 55, 'name': 'Brentford', 'logo': 'https://media.api-sports.io/football/teams/55.png', 'winner': None}, 'away': {'id': 47, 'name': 'Tottenham', 'logo': 'https://media.api-sports.io/football/teams/47.png', 'winner': None}}","{'home': 2, 'away': 2}","{'halftime': {'home': 2, 'away': 2}, 'fulltime': {'home': 2, 'away': 2}, 'extratime': {'home': None, 'away': None}, 'penalty': {'home': None, 'away': None}}"
"{'id': 1035045, 'referee': 'A. Taylor', 'timezone': 'UTC', 'date': '2023-08-13T15:30:00+00:00', 'timestamp': 1691940600, 'periods': {'first': 1691940600, 'second': 1691944200}, 'venue': {'id': 519, 'name': 'Stamford Bridge', 'city': 'London'}, 'status': {'long': 'Match Finished', 'short': 'FT', 'elapsed': 90}}","{'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2023, 'round': 'Regular Season - 1'}","{'home': {'id': 49, 'name': 'Chelsea', 'logo': 'https://media.api-sports.io/football/teams/49.png', 'winner': None}, 'away': {'id': 40, 'name': 'Liverpool', 'logo': 'https://media.api-sports.io/football/teams/40.png', 'winner': None}}","{'home': 1, 'away': 1}","{'halftime': {'home': 1, 'away': 1}, 'fulltime': {'home': 1, 'away': 1}, 'extratime': {'home': None, 'away': None}, 'penalty': {'home': None, 'away': None}}"
"{'id': 1035046, 'referee': 'S. Hooper', 'timezone': 'UTC', 'date': '2023-08-14T19:00:00+00:00', 'timestamp': 1692039600, 'periods': {'first': 1692039600, 'second': 1692043200}, 'venue': {'id': 556, 'name': 'Old Trafford', 'city': 'Manchester'}, 'status': {'long': 'Match Finished', 'short': 'FT', 'elapsed': 90}}","{'id': 39, 'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg', 'season': 2023, 'round': 'Regular Season - 1'}","{'home': {'id': 33, 'name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png', 'winner': True}, 'away': {'id': 39, 'name': 'Wolves', 'logo': 'https://media.api-sports.io/football/teams/39.png', 'winner': False}}","{'home': 1, 'away': 0}","{'halftime': {'home': 0, 'away': 0}, 'fulltime': {'home': 1, 'away': 0}, 'extratime': {'home': None, 'away': None}, 'penalty': {'home': None, 'away': None}}"
